CoilID,Risk Score,Prediction,Risk Level,Top 3 Reasons
537,0.0000,DEFECT,MEDIUM RISK,"X35 (low), X16 (low), X36 (low)"
1513,0.0000,NORMAL,LOW RISK,—
599,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X18 (low), X7 (low)"
421,0.0000,DEFECT,MEDIUM RISK,"X21 (low), X18 (low), X37 (low)"
1526,0.0000,DEFECT,MEDIUM RISK,"X35 (low), X23 (low), X38 (low)"
1161,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X35 (low), X11 (high)"
1330,0.0000,NORMAL,LOW RISK,—
994,0.7794,DEFECT,HIGH RISK,"X35 (high), X38 (low), X18 (high)"
1602,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X35 (low), X36 (high)"
1264,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X35 (low), X16 (low)"
21,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X18 (low), X16 (low)"
822,0.9977,DEFECT,HIGH RISK,"X35 (high), X18 (high), X36 (high)"
1027,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X41 (low), X38 (low)"
1540,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X35 (low), X36 (high)"
1145,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X35 (low), X23 (low)"
302,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X11 (low), X18 (low)"
398,0.0000,NORMAL,LOW RISK,—
1418,0.0000,NORMAL,LOW RISK,—
1417,0.0000,NORMAL,LOW RISK,—
691,0.0009,DEFECT,MEDIUM RISK,"X44 (low), X6 (low), X36 (high)"
685,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X35 (low), X25 (low)"
1534,0.0000,NORMAL,LOW RISK,—
1025,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X16 (low), X35 (high)"
1568,0.0000,NORMAL,LOW RISK,—
694,0.0371,DEFECT,MEDIUM RISK,"X6 (low), X36 (high), X18 (high)"
500,0.0011,DEFECT,MEDIUM RISK,"X48 (low), X38 (low), X18 (low)"
1477,0.0000,NORMAL,LOW RISK,—
1090,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X35 (low), X23 (low)"
170,0.0000,NORMAL,LOW RISK,—
1179,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X16 (low), X38 (low)"
539,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X35 (low), X16 (low)"
1582,0.0000,NORMAL,LOW RISK,—
1537,0.0000,NORMAL,LOW RISK,—
684,0.0000,DEFECT,MEDIUM RISK,"X35 (low), X36 (low), X6 (low)"
140,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X48 (low), X41 (low)"
1460,0.0000,NORMAL,LOW RISK,—
96,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X35 (low), X6 (low)"
351,0.0000,NORMAL,LOW RISK,—
1132,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X35 (low), X7 (low)"
1150,0.0000,DEFECT,MEDIUM RISK,"X23 (low), X35 (low), X37 (low)"
1124,0.0000,NORMAL,LOW RISK,—
806,0.0637,DEFECT,MEDIUM RISK,"X36 (high), X9 (low), X49 (low)"
1666,0.0000,NORMAL,LOW RISK,—
1598,0.0000,NORMAL,LOW RISK,—
1304,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X35 (low), X16 (low)"
491,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X35 (low), X6 (low)"
474,0.0000,NORMAL,LOW RISK,—
683,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X16 (low), X35 (low)"
954,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X35 (low), X16 (low)"
1234,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X16 (low), X35 (low)"
1663,0.0000,NORMAL,LOW RISK,—
289,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X16 (low), X35 (low)"
670,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X35 (low), X13 (low)"
622,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X41 (low), X44 (low)"
229,0.0000,NORMAL,LOW RISK,—
1498,0.0002,DEFECT,MEDIUM RISK,"X11 (high), X35 (low), X38 (low)"
631,0.0011,DEFECT,MEDIUM RISK,"X11 (low), X38 (low), X36 (high)"
1593,0.0000,NORMAL,LOW RISK,—
171,0.0000,DEFECT,MEDIUM RISK,"X21 (low), X36 (low), X35 (low)"
1386,0.0000,DEFECT,MEDIUM RISK,"X23 (low), X35 (low), X14 (low)"
9,0.0000,DEFECT,MEDIUM RISK,"X35 (low), X18 (low), X16 (low)"
883,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X48 (low), X41 (low)"
1028,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X38 (low), X41 (low)"
1468,0.0000,NORMAL,LOW RISK,—
1266,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X35 (low), X23 (low)"
307,0.0000,NORMAL,LOW RISK,—
507,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X41 (low), X3 (low)"
1085,0.0000,DEFECT,MEDIUM RISK,"X6 (low), X36 (high), X38 (low)"
1337,0.0000,NORMAL,LOW RISK,—
54,0.0002,DEFECT,MEDIUM RISK,"X14 (low), X48 (low), X13 (high)"
1344,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X35 (low), X36 (low)"
1287,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X35 (low), X7 (low)"
1321,0.0000,NORMAL,LOW RISK,—
961,0.0000,DEFECT,MEDIUM RISK,"X6 (low), X35 (low), X36 (high)"
411,0.0000,NORMAL,LOW RISK,—
511,0.0016,DEFECT,MEDIUM RISK,"X49 (low), X18 (low), X37 (low)"
1024,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X35 (high), X49 (low)"
946,0.0000,DEFECT,MEDIUM RISK,"X35 (low), X16 (low), X38 (low)"
15,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X16 (low), X35 (low)"
862,0.0000,NORMAL,LOW RISK,—
933,0.4934,DEFECT,MEDIUM RISK,"X44 (low), X38 (high), X36 (high)"
494,0.0002,DEFECT,MEDIUM RISK,"X35 (low), X49 (low), X44 (low)"
1617,0.0000,NORMAL,LOW RISK,—
292,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X16 (low), X35 (low)"
602,0.0000,NORMAL,LOW RISK,—
532,0.2352,DEFECT,MEDIUM RISK,"X35 (high), X38 (low), X37 (low)"
803,0.0060,DEFECT,MEDIUM RISK,"X35 (high), X3 (low), X37 (low)"
919,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X49 (low), X5 (low)"
682,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X35 (low), X36 (low)"
776,0.1383,DEFECT,MEDIUM RISK,"X38 (low), X16 (low), X36 (high)"
838,0.0000,NORMAL,LOW RISK,—
1092,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X23 (low), X35 (low)"
1548,0.0000,NORMAL,LOW RISK,—
437,0.0000,NORMAL,LOW RISK,—
1616,0.0000,NORMAL,LOW RISK,—
867,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X18 (low), X41 (low)"
1242,0.0000,NORMAL,LOW RISK,—
1251,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X35 (low), X7 (low)"
1184,0.0001,DEFECT,MEDIUM RISK,"X37 (low), X38 (low), X3 (low)"
538,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X35 (low), X16 (low)"
153,0.0002,DEFECT,MEDIUM RISK,"X21 (low), X35 (high), X27 (low)"
1651,0.0000,NORMAL,LOW RISK,—
1511,0.0000,DEFECT,MEDIUM RISK,"X35 (low), X23 (low), X36 (low)"
1565,0.0000,NORMAL,LOW RISK,—
144,0.0001,DEFECT,MEDIUM RISK,"X14 (low), X6 (low), X35 (high)"
121,0.0275,DEFECT,MEDIUM RISK,"X38 (low), X5 (low), X36 (high)"
614,0.0000,NORMAL,LOW RISK,—
1560,0.0000,NORMAL,LOW RISK,—
1392,0.0000,NORMAL,LOW RISK,—
748,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X16 (low), X35 (low)"
958,0.0831,DEFECT,MEDIUM RISK,"X38 (low), X36 (high), X14 (high)"
1491,0.0006,DEFECT,MEDIUM RISK,"X6 (low), X36 (high), X38 (low)"
747,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X16 (low), X35 (low)"
797,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X35 (high), X37 (low)"
246,0.9964,DEFECT,HIGH RISK,"X35 (high), X38 (low), X36 (high)"
235,0.0000,NORMAL,LOW RISK,—
1676,0.0000,NORMAL,LOW RISK,—
264,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X35 (low), X16 (low)"
212,0.0000,NORMAL,LOW RISK,—
1547,0.0000,NORMAL,LOW RISK,—
972,0.0000,DEFECT,MEDIUM RISK,"X21 (low), X38 (low), X35 (high)"
1355,0.0000,DEFECT,MEDIUM RISK,"X6 (low), X35 (low), X37 (low)"
309,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X35 (low), X23 (low)"
1328,0.0000,NORMAL,LOW RISK,—
1371,0.0000,NORMAL,LOW RISK,—
551,0.0000,NORMAL,LOW RISK,—
917,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X38 (low), X49 (low)"
941,0.0000,DEFECT,MEDIUM RISK,"X21 (low), X14 (low), X38 (low)"
1520,0.0000,DEFECT,MEDIUM RISK,"X23 (low), X35 (low), X36 (high)"
1189,0.0003,DEFECT,MEDIUM RISK,"X14 (low), X16 (low), X3 (low)"
853,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X41 (low), X44 (low)"
425,0.0000,NORMAL,LOW RISK,—
1570,0.0000,NORMAL,LOW RISK,—
197,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X6 (low), X35 (high)"
410,0.0000,NORMAL,LOW RISK,—
1137,0.4837,DEFECT,MEDIUM RISK,"X3 (low), X35 (high), X36 (high)"
1452,0.0000,NORMAL,LOW RISK,—
156,0.0014,DEFECT,MEDIUM RISK,"X35 (high), X18 (low), X48 (low)"
1022,0.0000,DEFECT,MEDIUM RISK,"X38 (low), X41 (low), X18 (low)"
996,0.2293,DEFECT,MEDIUM RISK,"X37 (low), X18 (high), X36 (high)"
1492,0.0000,DEFECT,MEDIUM RISK,"X23 (low), X35 (low), X38 (low)"
216,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X16 (low), X18 (low)"
488,0.0000,NORMAL,LOW RISK,—
893,0.0000,NORMAL,LOW RISK,—
1023,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X41 (low), X13 (high)"
1227,0.0000,NORMAL,LOW RISK,—
1591,0.0000,NORMAL,LOW RISK,—
404,0.0000,DEFECT,MEDIUM RISK,"X21 (low), X48 (low), X39 (low)"
210,0.0000,NORMAL,LOW RISK,—
132,0.0000,DEFECT,MEDIUM RISK,"X21 (low), X36 (low), X35 (low)"
835,0.6498,DEFECT,HIGH RISK,"X38 (low), X36 (high), X41 (high)"
1377,0.0000,NORMAL,LOW RISK,—
1187,0.0011,DEFECT,MEDIUM RISK,"X38 (low), X16 (low), X27 (low)"
692,0.0000,NORMAL,LOW RISK,—
457,0.0000,NORMAL,LOW RISK,—
329,0.0000,NORMAL,LOW RISK,—
1043,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X23 (low), X7 (low)"
41,0.0000,DEFECT,MEDIUM RISK,"X35 (low), X16 (low), X36 (low)"
1347,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X35 (low), X25 (low)"
199,0.0000,NORMAL,LOW RISK,—
1630,0.0000,NORMAL,LOW RISK,—
1607,0.0000,NORMAL,LOW RISK,—
1091,0.0034,DEFECT,MEDIUM RISK,"X23 (low), X7 (low), X36 (high)"
582,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X35 (low), X6 (low)"
625,0.0000,NORMAL,LOW RISK,—
1506,0.0000,DEFECT,MEDIUM RISK,"X35 (low), X16 (low), X23 (low)"
836,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X35 (low), X36 (high)"
586,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X16 (low), X37 (low)"
675,0.0000,NORMAL,LOW RISK,—
481,0.0000,DEFECT,MEDIUM RISK,"X21 (low), X14 (low), X35 (low)"
27,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X6 (low), X48 (low)"
1097,0.0019,DEFECT,MEDIUM RISK,"X23 (low), X37 (low), X36 (high)"
601,0.0000,NORMAL,LOW RISK,—
35,0.0003,DEFECT,MEDIUM RISK,"X21 (low), X41 (low), X36 (high)"
1063,0.0000,DEFECT,MEDIUM RISK,"X23 (low), X35 (high), X38 (low)"
1170,0.0001,DEFECT,MEDIUM RISK,"X16 (low), X35 (low), X36 (high)"
104,0.0000,NORMAL,LOW RISK,—
1133,0.0000,NORMAL,LOW RISK,—
1643,0.0000,NORMAL,LOW RISK,—
802,0.0012,DEFECT,MEDIUM RISK,"X41 (low), X36 (high), X6 (low)"
781,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X35 (high), X37 (low)"
1118,0.0000,DEFECT,MEDIUM RISK,"X35 (low), X36 (low), X7 (low)"
275,0.0011,DEFECT,MEDIUM RISK,"X35 (high), X6 (low), X18 (low)"
1444,0.0000,NORMAL,LOW RISK,—
979,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X16 (low), X35 (low)"
485,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X35 (low), X6 (low)"
859,0.0002,DEFECT,MEDIUM RISK,"X14 (low), X35 (high), X41 (low)"
1688,0.0000,NORMAL,LOW RISK,—
1336,0.0000,NORMAL,LOW RISK,—
1202,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X16 (low), X38 (low)"
257,0.0001,DEFECT,MEDIUM RISK,"X36 (low), X6 (low), X35 (high)"
897,0.0000,DEFECT,MEDIUM RISK,"X21 (low), X14 (low), X41 (low)"
131,0.0000,NORMAL,LOW RISK,—
528,0.0002,DEFECT,MEDIUM RISK,"X36 (low), X39 (low), X13 (low)"
176,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X35 (low), X16 (low)"
1494,0.0012,DEFECT,MEDIUM RISK,"X23 (low), X36 (high), X35 (low)"
1589,0.0000,NORMAL,LOW RISK,—
1557,0.0000,NORMAL,LOW RISK,—
196,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X6 (low), X35 (low)"
207,0.0000,DEFECT,MEDIUM RISK,"X18 (low), X16 (low), X41 (low)"
462,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X35 (low), X16 (low)"
1627,0.0000,NORMAL,LOW RISK,—
1426,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X35 (low), X7 (low)"
902,0.0646,DEFECT,MEDIUM RISK,"X35 (high), X7 (low), X6 (low)"
866,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X35 (low), X16 (low)"
161,0.0000,DEFECT,MEDIUM RISK,"X21 (low), X18 (low), X25 (low)"
107,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X35 (low), X23 (low)"
1481,0.0000,NORMAL,LOW RISK,—
856,0.0003,DEFECT,MEDIUM RISK,"X38 (low), X35 (high), X41 (low)"
211,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X16 (low), X35 (low)"
1073,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X38 (low), X49 (low)"
751,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X35 (low), X36 (high)"
1592,0.0000,NORMAL,LOW RISK,—
22,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X18 (low), X9 (low)"
1362,0.0000,NORMAL,LOW RISK,—
515,0.0000,NORMAL,LOW RISK,—
496,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X35 (low), X18 (low)"
1318,0.0001,DEFECT,MEDIUM RISK,"X36 (low), X49 (low), X35 (low)"
265,0.0000,NORMAL,LOW RISK,—
693,0.0003,DEFECT,MEDIUM RISK,"X36 (low), X35 (low), X11 (low)"
593,0.0000,NORMAL,LOW RISK,—
65,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X6 (low), X41 (low)"
1450,0.0000,NORMAL,LOW RISK,—
1453,0.0000,NORMAL,LOW RISK,—
160,0.0001,DEFECT,MEDIUM RISK,"X21 (low), X18 (low), X36 (high)"
1471,0.0000,NORMAL,LOW RISK,—
1274,0.0000,DEFECT,MEDIUM RISK,"X6 (low), X35 (low), X49 (low)"
1129,0.0000,NORMAL,LOW RISK,—
666,0.0000,NORMAL,LOW RISK,—
1295,0.0000,DEFECT,MEDIUM RISK,"X38 (low), X49 (low), X41 (low)"
962,0.0000,DEFECT,MEDIUM RISK,"X6 (low), X35 (low), X36 (high)"
1380,0.0000,NORMAL,LOW RISK,—
331,0.0000,DEFECT,MEDIUM RISK,"X6 (low), X35 (low), X23 (low)"
416,0.0000,NORMAL,LOW RISK,—
1346,0.0054,DEFECT,MEDIUM RISK,"X16 (low), X37 (low), X18 (low)"
1412,0.0000,DEFECT,MEDIUM RISK,"X35 (low), X14 (low), X23 (low)"
162,0.0003,DEFECT,MEDIUM RISK,"X18 (low), X25 (low), X36 (high)"
736,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X23 (low), X49 (low)"
477,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X35 (low), X13 (low)"
648,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X11 (low), X44 (low)"
1238,0.0000,NORMAL,LOW RISK,—
1434,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X35 (low), X7 (low)"
38,0.0000,NORMAL,LOW RISK,—
1223,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X35 (low), X7 (low)"
1111,0.2811,DEFECT,MEDIUM RISK,"X37 (low), X36 (high), X35 (high)"
1594,0.0000,NORMAL,LOW RISK,—
297,0.1722,DEFECT,MEDIUM RISK,"X16 (low), X35 (high), X11 (low)"
943,0.0005,DEFECT,MEDIUM RISK,"X41 (low), X5 (low), X36 (high)"
1260,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X16 (low), X35 (low)"
344,0.0000,DEFECT,MEDIUM RISK,"X21 (low), X14 (low), X37 (low)"
1088,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X36 (low), X35 (low)"
926,0.0000,NORMAL,LOW RISK,—
1611,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X35 (low), X7 (low)"
358,0.0018,DEFECT,MEDIUM RISK,"X14 (low), X35 (high), X18 (low)"
1567,0.0000,NORMAL,LOW RISK,—
1210,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X16 (low), X14 (low)"
422,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X16 (low), X37 (low)"
1482,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X23 (low), X35 (low)"
639,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X35 (low), X36 (low)"
1442,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X23 (low), X35 (low)"
406,0.0000,NORMAL,LOW RISK,—
1263,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X35 (low), X16 (low)"
1407,0.0000,NORMAL,LOW RISK,—
804,0.0006,DEFECT,MEDIUM RISK,"X14 (low), X35 (high), X41 (low)"
1100,0.0987,DEFECT,MEDIUM RISK,"X9 (low), X35 (high), X5 (low)"
1561,0.0000,NORMAL,LOW RISK,—
1478,0.0000,DEFECT,MEDIUM RISK,"X23 (low), X35 (low), X16 (high)"
1019,0.0001,DEFECT,MEDIUM RISK,"X14 (low), X35 (high), X49 (low)"
705,0.0000,NORMAL,LOW RISK,—
1233,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X16 (low), X35 (low)"
1216,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X35 (low), X16 (low)"
704,0.0000,NORMAL,LOW RISK,—
252,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X35 (low), X6 (low)"
361,0.0003,DEFECT,MEDIUM RISK,"X35 (low), X49 (low), X18 (low)"
841,0.0002,DEFECT,MEDIUM RISK,"X14 (low), X35 (high), X18 (low)"
1215,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X35 (low), X14 (low)"
226,0.0000,NORMAL,LOW RISK,—
770,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X35 (low), X25 (low)"
1203,0.0000,NORMAL,LOW RISK,—
397,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X23 (low), X48 (low)"
1489,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X35 (low), X23 (low)"
1429,0.0000,NORMAL,LOW RISK,—
934,0.0000,DEFECT,MEDIUM RISK,"X21 (low), X36 (low), X35 (low)"
571,0.0000,DEFECT,MEDIUM RISK,"X35 (low), X18 (low), X36 (low)"
1374,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X16 (low), X35 (low)"
14,0.0002,DEFECT,MEDIUM RISK,"X49 (low), X35 (high), X41 (low)"
